product_id,product_name,category,supplier,unit_price,stock_qty
PROD0069,Hoodie - Variant 2,Clothing,Global Traders,519.47,51
PROD0070,Jeans,Clothing,Nexa Wholesale,289.02,473
PROD0071,Jeans - Variant 2,Clothing,Global Traders,567.98,38
PROD0072,Jacket,Clothing,Acme Supplies,380.44,105
PROD0073,Jacket - Variant 2,Clothing,Prime Distributors,171.97,34
PROD0074,Jacket - Variant 3,Clothing,Nexa Wholesale,76.23,246
PROD0075,Sneakers,Clothing,Acme Supplies,112.08,321
PROD0076,Sneakers - Variant 2,Clothing,Bluebird Imports,393.52,462
PROD0077,Sneakers - Variant 3,Clothing,Nexa Wholesale,19.56,351
PROD0078,Cap,Clothing,Global Traders,324.59,395
PROD0079,Cap - Variant 2,Clothing,Bluebird Imports,301.9,71
PROD0080,Socks Pack,Clothing,Prime Distributors,91.3,
PROD0081,Socks Pack - Variant 2,Clothing,Prime Distributors,29.84,336
PROD0082,Socks Pack - Variant 3,Clothing,Global Traders,542.12,358
PROD0083,Formal Shirt,Clothing,,14.31,461
PROD0084,Formal Shirt - Variant 2,Clothing,Nexa Wholesale,435.65,111
PROD0085,Coffee Beans,Groceries,Global Traders,174.68,429
PROD0086,Coffee Beans - Variant 2,Groceries,Prime Distributors,118.96,298
PROD0087,Green Tea,Groceries,,563.97,12
PROD0088,Green Tea - Variant 2,Groceries,Acme Supplies,409.08,184
PROD0089,Olive Oil,Groceries,Nexa Wholesale,143.69,191
PROD0090,Olive Oil - Variant 2,Groceries,,309.43,344
PROD0091,Olive Oil - Variant 3,Groceries,Bluebird Imports,595.15,463
PROD0092,Pasta Pack,Groceries,Nexa Wholesale,119.48,103
PROD0093,Pasta Pack - Variant 2,Groceries,Nexa Wholesale,189.38,138
PROD0094,Granola Bars,Groceries,Prime Distributors,585.09,16
PROD0095,Granola Bars - Variant 2,Groceries,Prime Distributors,247.15,211
PROD0096,Peanut Butter,Groceries,Global Traders,343.31,122
PROD0097,Peanut Butter - Variant 2,Groceries,Acme Supplies,497.68,79
PROD0098,Rice Bag,Groceries,Nexa Wholesale,365.96,287
PROD0099,Rice Bag - Variant 2,Groceries,Nexa Wholesale,330.98,70
PROD0100,Rice Bag - Variant 3,Groceries,Bluebird Imports,160.34,61
PROD0101,Cereal Box,Groceries,Global Traders,576.35,466
PROD0102,Cereal Box - Variant 2,Groceries,Bluebird Imports,86.56,69
PROD0103,Cereal Box - Variant 3,Groceries,,350.94,85
PROD0104,Yoga Mat,Sports,Acme Supplies,256.59,299
PROD0105,Yoga Mat - Variant 2,Sports,Nexa Wholesale,492.55,129
PROD0106,Dumbbell Set,Sports,Prime Distributors,516.83,495
PROD0107,Dumbbell Set - Variant 2,Sports,Nexa Wholesale,565.5,48
PROD0108,Football,Sports,Acme Supplies,264.17,495
PROD0109,Football - Variant 2,Sports,Prime Distributors,15.42,36
PROD0110,Tennis Racket,Sports,Global Traders,453.31,445
PROD0111,Tennis Racket - Variant 2,Sports,Acme Supplies,87.33,
PROD0112,Tennis Racket - Variant 3,Sports,Prime Distributors,229.22,413
PROD0113,Cycling Helmet,Sports,Nexa Wholesale,270.53,336
PROD0114,Cycling Helmet - Variant 2,Sports,Prime Distributors,320.6,460
PROD0115,Resistance Bands,Sports,Bluebird Imports,264.42,459
PROD0116,Resistance Bands - Variant 2,Sports,Nexa Wholesale,155.74,92
